stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
51305,,"Co Rd D & Glen Oaks Ave","Near side W",  45.035840, -92.990125,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51305,0,1
51307,,"Bellaire Ave & Sumac Ridge","Near side N",  45.037983, -92.994900,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51307,0,1
51308,,"Bellaire Ave & Oak Dr","Near side N",  45.040013, -92.994892,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51308,0,1
51309,,"Bellaire Ave & Crestline Dr","Near side N",  45.043907, -92.994895,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51309,0,1
51310,,"Bellaire Ave & Elm Dr","Near side N",  45.045984, -92.994883,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51310,0,1
51311,,"Bellaire Ave & Roth Place","Near side N",  45.059211, -92.994905,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51311,0,1
51312,,"Bellaire Ave & Martin Way","Near side N",  45.062380, -92.994924,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51312,0,1
51313,,"Bellaire Ave & Co Rd F","Near side N",  45.064578, -92.994909,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51313,0,1
51314,,"East County Line (Hwy 120) & Cedar / Riviera","Mid block S",  45.056974, -92.984787,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51314,0,1
51315,,"East County Line (Hwy 120) & Sun Terrace","Near side S",  45.055023, -92.984795,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51315,0,1
51316,,"East County Line (Hwy 120) & Crown Hill Court","Near side S",  45.053097, -92.984819,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51316,0,1
51317,,"Mahtomedi Ave (Hwy 244) & Locust St","Across from N",  45.070241, -92.955561,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51317,0,1
51319,,"Mahtomedi Ave (Hwy 244) & Locust St","Near side S",  45.070235, -92.955820,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51319,0,1
51320,,"Hwy 120 & Wildwood Rd (Hwy 244)","Far side N",  45.050419, -92.984595,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51320,0,1
51321,,"Co Rd F & East County Line (Hwy 120)","Far side W",  45.064786, -92.985028,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51321,0,1
